 b, c, e, f
11700, Note_on_c, 83, 80
11815, Note_on_c, 83, 0
11815, Note_on_c, 74, 0
11815, Note_on_c, 78, 0
11820, Note_on_c, 81, 80
11875, Note_on_c, 81, 0
11880, Note_on_c, 79, 80
11935, Note_on_c, 79, 0
11940, Note_on_c, 78, 80
11995, Note_on_c, 78, 0
12000, Note_on_c, 76, 80
12050, Note_on_c, 76, 0
12060, Note_on_c, 74, 80
12163, Note_on_c, 74, 0
12180, Note_on_c, 74, 80
12458, Note_on_c, 74, 0
12480, Note_on_c, 78, 80
12480, Note_on_c, 74, 80
12480, Note_on_c, 86, 80
12530, Note_on_c, 86, 0
12535, Note_on_c, 74, 0
12535, Note_on_c, 78, 0
12540, Note_on_c, 83, 80
12649, Note_on_c, 83, 0
12660, Note_on_c, 74, 80
12660, Note_on_c, 81, 80
12660, Note_on_c, 78, 80
12775, Note_on_c, 78, 0
12775, Note_on_c, 81, 0
12775, Note_on_c, 74, 0
12780, Note_on_c, 83, 80
12830, Note_on_c, 83, 0
12840, Note_on_c, 84, 80
12941, Note_on_c, 84, 0
13080, Note_on_c, 91, 80
13135, Note_on_c, 91, 0
13140, Note_on_c, 95, 80
13195, Note_on_c, 95, 0
13200, Note_on_c, 91, 80
13250, Note_on_c, 91, 0
13260, Note_on_c, 88, 80
13424, Note_on_c, 88, 0
13440, Note_on_c, 71, 80
13440, Note_on_c, 62, 80
13546, Note_on_c, 62, 0
13546, Note_on_c, 71, 0
13560, Note_on_c, 70, 80
13560, Note_on_c, 62, 80
13666, Note_on_c, 62, 0
13666, Note_on_c, 70, 0
13680, Note_on_c, 62, 80
13680, Note_on_c, 69, 80
13786, Note_on_c, 69, 0
13786, Note_on_c, 62, 0
13800, Note_on_c, 74, 80
13800, Note_on_c, 66, 80
13906, Note_on_c, 66, 0
13906, Note_on_c, 74, 0
13920, Note_on_c, 66, 80
13920, Note_on_c, 71, 80
14026, Note_on_c, 71, 0
14026, Note_on_c, 66, 0
14040, Note_on_c, 69, 80
14040, Note_on_c, 75, 80
14146, Note_on_c, 75, 0
14146, Note_on_c, 69, 0
14160, Note_on_c, 76, 80
14160, Note_on_c, 71, 80
14266, Note_on_c, 71, 0
14266, Note_on_c, 76, 0
14280, Note_on_c, 71, 80
14280, Note_on_c, 79, 80
14381, Note_on_c, 79, 0
14381, Note_on_c, 71, 0
14400, Note_on_c, 76, 80
14455, Note_on_c, 76, 0
14460, Note_on_c, 75, 80
14515, Note_on_c, 75, 0
14520, Note_on_c, 76, 80
14575, Note_on_c, 76, 0
14580, Note_on_c, 78, 80
14635, Note_on_c, 78, 0
14640, Note_on_c, 76, 80
14640, Note_on_c, 69, 80
14749, Note_on_c, 69, 0
14749, Note_on_c, 76, 0
14760, Note_on_c, 67, 80
14760, Note_on_c, 73, 80
14861, Note_on_c, 73, 0
14861, Note_on_c, 67, 0
14880, Note_on_c, 74, 80
14880, Note_on_c, 66, 80
15086, Note_on_c, 66, 0
15086, Note_on_c, 74, 0
15120, Note_on_c, 74, 80
15120, Note_on_c, 78, 80
15120, Note_on_c, 86, 80
15312, Note_on_c, 86, 0
15312, Note_on_c, 78, 0
15312, Note_on_c, 74, 0
15360, Note_on_c, 65, 80
15524, Note_on_c, 65, 0
15540, Note_on_c, 69, 80
15595, Note_on_c, 69, 0
15600, Note_on_c, 67, 80
15650, Note_on_c, 67, 0
15660, Note_on_c, 65, 80
15769, Note_on_c, 65, 0
15780, Note_on_c, 64, 80
15835, Note_on_c, 64, 0
15840, Note_on_c, 65, 80
16004, Note_on_c, 65, 0
16020, Note_on_c, 69, 80
16075, Note_on_c, 69, 0
16080, Note_on_c, 67, 80
16130, Note_on_c, 67, 0
16140, Note_on_c, 65, 80
16249, Note_on_c, 65, 0
16260, Note_on_c, 64, 80
16315, Note_on_c, 64, 0
16320, Note_on_c, 62, 80
16421, Note_on_c, 62, 0
16440, Note_on_c, 77, 80
16440, Note_on_c, 81, 80
16440, Note_on_c, 69, 80
16549, Note_on_c, 69, 0
16549, Note_on_c, 81, 0
16549, Note_on_c, 77, 0
16560, Note_on_c, 69, 80
16560, Note_on_c, 81, 80
16560, Note_on_c, 76, 80
