a, b, c, d, e, f
2, 2291, Note_on_c, 0, 83, 0
2, 2291, Note_on_c, 0, 57, 0
2, 2300, Note_on_c, 0, 45, 0
2, 2321, Note_on_c, 0, 72, 80
2, 2323, Note_on_c, 0, 58, 80
2, 2325, Note_on_c, 0, 46, 80
2, 2325, Note_on_c, 0, 84, 80
2, 2351, Note_on_c, 0, 46, 0
2, 2351, Note_on_c, 0, 58, 0
2, 2363, Note_on_c, 0, 57, 80
2, 2365, Note_on_c, 0, 45, 80
2, 2384, Note_on_c, 0, 45, 0
2, 2388, Note_on_c, 0, 57, 0
2, 2421, Note_on_c, 0, 43, 80
2, 2423, Note_on_c, 0, 55, 80
2, 2447, Note_on_c, 0, 55, 0
2, 2450, Note_on_c, 0, 43, 0
2, 2459, Note_on_c, 0, 42, 80
2, 2459, Note_on_c, 0, 54, 80
2, 2470, Control_c, 0, 64, 127
2, 2485, Note_on_c, 0, 72, 0
2, 2485, Note_on_c, 0, 84, 0
2, 2497, Note_on_c, 0, 54, 0
2, 2499, Note_on_c, 0, 42, 0
2, 2517, Note_on_c, 0, 73, 80
2, 2517, Note_on_c, 0, 85, 80
2, 2534, Control_c, 0, 64, 0
2, 2541, Note_on_c, 0, 73, 0
2, 2544, Note_on_c, 0, 85, 0
2, 2551, Note_on_c, 0, 62, 80
2, 2551, Note_on_c, 0, 86, 80
2, 2553, Note_on_c, 0, 54, 80
2, 2553, Note_on_c, 0, 74, 80
2, 2555, Note_on_c, 0, 57, 80
2, 2555, Note_on_c, 0, 60, 80
2, 2576, Note_on_c, 0, 60, 0
2, 2576, Note_on_c, 0, 54, 0
2, 2578, Note_on_c, 0, 57, 0
2, 2578, Note_on_c, 0, 62, 0
2, 2611, Note_on_c, 0, 74, 0
2, 2615, Note_on_c, 0, 86, 0
2, 2647, Note_on_c, 0, 38, 80
2, 2647, Note_on_c, 0, 73, 80
2, 2649, Note_on_c, 0, 78, 80
2, 2649, Note_on_c, 0, 85, 80
2, 2673, Note_on_c, 0, 38, 0
2, 2712, Note_on_c, 0, 73, 0
2, 2715, Note_on_c, 0, 78, 0
2, 2715, Note_on_c, 0, 85, 0
2, 2748, Note_on_c, 0, 54, 80
2, 2748, Note_on_c, 0, 57, 80
2, 2748, Note_on_c, 0, 60, 80
2, 2748, Note_on_c, 0, 62, 80
2, 2748, Note_on_c, 0, 74, 80
2, 2748, Note_on_c, 0, 78, 80
2, 2748, Note_on_c, 0, 86, 80
2, 2770, Note_on_c, 0, 60, 0
2, 2772, Note_on_c, 0, 62, 0
2, 2772, Note_on_c, 0, 57, 0
2, 2774, Note_on_c, 0, 54, 0
2, 2796, Note_on_c, 0, 74, 0
2, 2796, Note_on_c, 0, 78, 0
2, 2800, Note_on_c, 0, 86, 0
2, 2845, Control_c, 0, 64, 127
2, 2845, Note_on_c, 0, 42, 80
2, 2845, Note_on_c, 0, 54, 80
2, 2845, Note_on_c, 0, 73, 80
2, 2847, Note_on_c, 0, 85, 80
2, 2871, Note_on_c, 0, 85, 0
2, 2871, Note_on_c, 0, 73, 0
2, 2871, Note_on_c, 0, 42, 0
2, 2895, Note_on_c, 0, 54, 0
2, 2904, Note_on_c, 0, 86, 80
2, 2907, Note_on_c, 0, 74, 80
2, 2909, Control_c, 0, 64, 0
2, 2931, Note_on_c, 0, 74, 0
2, 2933, Note_on_c, 0, 86, 0
2, 2942, Note_on_c, 0, 60, 80
2, 2942, Note_on_c, 0, 62, 80
2, 2942, Note_on_c, 0, 73, 80
2, 2944, Note_on_c, 0, 54, 80
2, 2944, Note_on_c, 0, 57, 80
2, 2946, Note_on_c, 0, 81, 80
2, 2946, Note_on_c, 0, 85, 80
2, 2968, Note_on_c, 0, 73, 0
2, 2968, Note_on_c, 0, 60, 0
2, 2968, Note_on_c, 0, 62, 0
2, 2970, Note_on_c, 0, 81, 0
2, 2972, Note_on_c, 0, 85, 0
2, 2972, Note_on_c, 0, 57, 0
2, 3004, Note_on_c, 0, 74, 80
2, 3004, Note_on_c, 0, 86, 80
2, 3028, Note_on_c, 0, 74, 0
2, 3037, Note_on_c, 0, 38, 80
2, 3041, Note_on_c, 0, 76, 80
2, 3041, Note_on_c, 0, 88, 80
2, 3045, Note_on_c, 0, 86, 0
2, 3062, Note_on_c, 0, 76, 0
2, 3062, Note_on_c, 0, 38, 0
2, 3066, Note_on_c, 0, 88, 0
2, 3096, Note_on_c, 0, 74, 80
2, 3096, Note_on_c, 0, 78, 80
2, 3096, Note_on_c, 0, 81, 80
2, 3096, Note_on_c, 0, 86, 80
2, 3098, Note_on_c, 0, 54, 0
2, 3109, Note_on_c, 0, 78, 0
2, 3111, Note_on_c, 0, 81, 0
2, 3121, Note_on_c, 0, 74, 0
2, 3125, Note_on_c, 0, 86, 0
2, 3132, Note_on_c, 0, 54, 80
2, 3132, Note_on_c, 0, 72, 80
2, 3134, Note_on_c, 0, 57, 80
2, 3134, Note_on_c, 0, 60, 80
2, 3134, Note_on_c, 0, 78, 80
2, 3134, Note_on_c, 0, 84, 80
2, 3136, Note_on_c, 0, 81, 80
2, 3158, Note_on_c, 0, 72, 0
2, 3158, Note_on_c, 0, 54, 0
2, 3160, Note_on_c, 0, 84, 0
