0,1,2,3
 55,12180,12249,0.375
 51,12314,12382,0.375
 57,12314,12380,0.375
 55,12441,12548,0.5
 53,12534,12581,0.25
 51,12576,12678,0.5
 48,12667,12712,0.25
 50,12839,12876,0.25
 58,12839,13007,0.875
 55,12971,13005,0.125
 50,13109,13143,0.125
 55,13238,13273,0.125
 58,13238,13273,0.125
 57,13359,13504,0.75
 54,13488,13534,0.25
 60,13488,13532,0.25
 54,13625,13716,0.5
 55,13712,13757,0.25
 56,13753,13848,0.5
 57,13845,13896,0.25
 59,13892,14024,0.75
 60,14022,14160,0.75
 59,14425,14571,0.75
 60,14558,14693,0.75
 51,14952,15053,0.5
 53,15083,15323,1.0
 55,15338,15477,0.75
 48,15473,15649,0.875
 52,15555,15616,0.375
 60,15667,15797,0.625
 51,15818,15930,0.625
 57,15864,15930,0.375
 60,15864,15930,0.375
 53,15993,16031,0.25
 52,16126,16325,1.0
 55,16390,16512,0.625
 57,16520,16628,0.5
 51,16522,16628,0.5
 60,16723,16782,0.25
 51,16893,16962,0.375
 57,16893,16960,0.375
 58,17038,17191,0.75
 55,17156,17191,0.125
 57,17299,17477,0.875
 54,17427,17477,0.25
 60,17429,17477,0.25
 54,17562,17697,0.75
 60,17653,17697,0.25
 55,17693,17832,0.75
 57,17830,17963,0.75
 60,17961,18096,0.75
 59,18090,18125,0.125
 60,18221,18276,0.25
 50,18613,18663,0.25
 59,18613,18661,0.25
 60,18746,18796,0.25
 49,19021,19144,0.625
 51,19152,19187,0.125
 53,19282,19490,1.0
 55,19542,19592,0.25
 52,19680,19715,0.125
 52,19768,19858,0.5
 55,19809,19856,0.25
 60,19874,20011,0.75
 53,20031,20140,0.625
 51,20072,20140,0.375
 57,20072,20140,0.375
 60,20072,20138,0.375
 53,20206,20275,0.375
 52,20334,20530,1.0
 55,20590,20657,0.375
 51,20718,20744,0.125
 57,20718,20766,0.25
 51,20788,20814,0.125
 53,20810,20838,0.125
 54,20834,20857,0.125
 55,20854,20947,0.5
 53,20945,20994,0.25
 51,20990,21081,0.5
 48,21077,21126,0.25
 58,21247,21765,1.0
 55,21393,21432,0.25
 50,21515,21551,0.25
 55,21644,21677,0.125
 54,21774,21817,0.25
 60,21774,22301,1.0
 54,21898,21934,0.25
 54,22034,22068,0.125
 54,22165,22202,0.25
 59,22297,22828,1.0
 55,22430,22465,0.125
 50,22432,22467,0.125
 53,22432,22467,0.125
 53,22565,22601,0.25
 53,22694,22729,0.125
 55,22826,22906,0.375
 54,22914,22961,0.25
 55,22957,23048,0.5
 57,23042,23089,0.25
 59,23088,23190,0.5
 55,23177,23235,0.25
 57,23222,23310,0.5
 59,23306,23365,0.25
 48,23353,23478,0.625
 58,23353,23421,0.375
 58,23484,23536,0.25
 55,23620,23668,0.25
 52,23757,23808,0.25
 57,23889,23936,0.25
 60,23889,23977,0.5
 51,23891,23936,0.25
 55,24017,24063,0.25
 57,24152,24202,0.25
 60,24152,24220,0.375
 60,24280,24328,0.25
 53,24282,24376,0.5
 55,24372,24398,0.125
 57,24394,24418,0.125
 58,24414,24457,0.25
 51,24945,24992,0.25
 57,24945,25117,0.875
 60,25072,25115,0.25
 52,25200,25243,0.25
 54,25328,25373,0.25
 55,25464,25488,0.125
 58,25464,26002,1.0
 55,25597,25631,0.125
 50,25732,25770,0.25
 55,25868,25903,0.125
 60,25998,26529,1.0
 54,26000,26045,0.25
 54,26133,26168,0.125
 54,26260,26298,0.25
 54,26393,26426,0.125
 50,26527,26574,0.25
 59,26527,27067,1.0
 53,26660,26695,0.125
 55,26660,26695,0.125
 53,26792,26826,0.125
 55,26923,26958,0.125
 53,26925,26958,0.125
 55,27051,27175,0.625
 57,27185,27310,0.625
 59,27315,27447,0.75
 55,27445,27570,0.625
 51,27576,27710,0.75
 53,27708,27903,1.0
