 b, c, e, f
6611, Note_on_c, 47, 0
6629, Note_on_c, 50, 80
6629, Note_on_c, 53, 80
6629, Note_on_c, 55, 80
6629, Note_on_c, 59, 80
6629, Note_on_c, 62, 80
6629, Note_on_c, 65, 80
6633, Note_on_c, 49, 0
6665, Control_c, 64, 127
6851, Note_on_c, 62, 0
6851, Note_on_c, 59, 0
6851, Note_on_c, 55, 0
6851, Note_on_c, 65, 0
6853, Note_on_c, 50, 0
6853, Note_on_c, 53, 0
6879, Control_c, 64, 0
6892, Note_on_c, 67, 80
6894, Note_on_c, 55, 80
6894, Note_on_c, 57, 80
6894, Note_on_c, 60, 80
6894, Note_on_c, 63, 80
6896, Note_on_c, 51, 80
6978, Note_on_c, 63, 0
6978, Note_on_c, 60, 0
6978, Note_on_c, 67, 0
6980, Note_on_c, 57, 0
6980, Note_on_c, 51, 0
7009, Note_on_c, 40, 80
7030, Note_on_c, 58, 80
7030, Note_on_c, 62, 80
7032, Note_on_c, 52, 80
7056, Note_on_c, 55, 0
7111, Note_on_c, 62, 0
7111, Note_on_c, 58, 0
7121, Note_on_c, 55, 80
7125, Note_on_c, 52, 0
7166, Note_on_c, 62, 80
7168, Note_on_c, 52, 80
7168, Note_on_c, 58, 80
7224, Note_on_c, 41, 80
7225, Note_on_c, 58, 0
7225, Note_on_c, 52, 0
7225, Note_on_c, 55, 0
7227, Note_on_c, 40, 0
7231, Note_on_c, 60, 80
7233, Note_on_c, 51, 80
7233, Note_on_c, 53, 80
7233, Note_on_c, 57, 80
7235, Note_on_c, 62, 0
7306, Note_on_c, 53, 0
7306, Control_c, 64, 127
7349, Note_on_c, 60, 0
7351, Note_on_c, 57, 0
7351, Note_on_c, 51, 0
7391, Note_on_c, 53, 80
7418, Control_c, 64, 0
7432, Note_on_c, 51, 80
7432, Note_on_c, 57, 80
7432, Note_on_c, 60, 80
7491, Note_on_c, 41, 0
7497, Note_on_c, 46, 80
7501, Note_on_c, 57, 0
7501, Note_on_c, 60, 0
7501, Note_on_c, 53, 0
7501, Note_on_c, 51, 0
7521, Note_on_c, 48, 80
7527, Note_on_c, 46, 0
7545, Note_on_c, 49, 80
7547, Note_on_c, 48, 0
7567, Note_on_c, 50, 80
7567, Note_on_c, 55, 80
7567, Note_on_c, 58, 80
7567, Note_on_c, 62, 80
7567, Note_on_c, 65, 80
7571, Note_on_c, 49, 0
7634, Note_on_c, 55, 0
7634, Note_on_c, 58, 0
7634, Note_on_c, 50, 0
7634, Note_on_c, 65, 0
7634, Note_on_c, 62, 0
7696, Note_on_c, 64, 80
7696, Note_on_c, 69, 80
7698, Note_on_c, 49, 80
7698, Note_on_c, 55, 80
7698, Note_on_c, 58, 80
7698, Note_on_c, 61, 80
7767, Control_c, 64, 127
7896, Note_on_c, 69, 0
7896, Note_on_c, 64, 0
7897, Note_on_c, 58, 0
7897, Note_on_c, 55, 0
7897, Note_on_c, 49, 0
7911, Control_c, 64, 0
7952, Note_on_c, 37, 80
7960, Note_on_c, 58, 80
7960, Note_on_c, 64, 80
7960, Note_on_c, 67, 80
7962, Note_on_c, 52, 80
7962, Note_on_c, 55, 80
8023, Note_on_c, 67, 0
